event_id,date,city,country,venue,is_apex
fc9a9559a05f2704,2020-02-29,Norfolk,USA,,0
33b2f68ef95252e0,2020-02-22,Auckland,New Zealand,,0
5df17b3620145578,2020-02-15,Rio Rancho,USA,,0
b26d3e3746fb4024,2020-02-08,Houston,USA,,0
44aa652b181bcf68,2020-01-25,Raleigh,USA,,0
0c1773639c795466,2020-01-18,Las Vegas,USA,,0
74fefd43f073cd2f,2019-12-21,Busan,South Korea,,0
4565d435005319c0,2019-12-14,Las Vegas,USA,,0
b09890ba7ce1d1e2,2019-12-07,Washington,USA,,0
81ca2c245b19b3c5,2019-11-16,Sao Paulo,Brazil,,0
8d5daf67983b65ba,2019-11-09,Moscow,Russia,,0
fd87b1bbfcde9d5e,2019-11-02,New York City,USA,,0
df05aa15b2d66f57,2019-10-26,Kallang,Singapore,,0
3ae10ac4df3df05c,2019-10-18,Boston,USA,,0
0941df56f6ac954b,2019-10-12,Tampa,USA,,0
3cf68c1d17f66af7,2019-10-05,Melbourne,Australia,,0
1bf49bf829964144,2019-09-28,Copenhagen,Denmark,,0
94a5aaf573f780ad,2019-09-21,Mexico City,Mexico,,0
4834ff149dc9542a,2019-09-14,Vancouver,Canada,,0
a79bfbc01b2264d6,2019-09-07,Abu Dhabi,United Arab Emirates,,0
2c104b7e59a72629,2019-08-31,Shenzhen,China,,0
70167689d6a01793,2019-08-17,Anaheim,USA,,0
e5d03e4d966126bd,2019-08-10,Montevideo,Uruguay,,0
03da33a102d9a45f,2019-08-03,Newark,USA,,0
abcf7e55a0a9ed89,2019-07-27,Edmonton,Canada,,0
9e0f28d1f639ad73,2019-07-20,San Antonio,USA,,0
2f8f3c69522db931,2019-07-13,Sacramento,USA,,0
6c9383ffab2725a5,2019-07-06,Las Vegas,USA,,0
c0c1bc0766df4c00,2019-06-29,Minneapolis,USA,,0
b16a7e6a627e9789,2019-06-22,Greenville,USA,,0
e31502e3f79d00c5,2019-06-08,Chicago,USA,,0
cbc071cb20ea59c7,2019-06-01,Stockholm,Sweden,,0
6b8f28da9a483049,2019-05-18,Rochester,USA,,0
9de7c97e1c0d7927,2019-05-11,Rio de Janeiro,Brazil,,0
351264d11286d09a,2019-05-04,Ottawa,Canada,,0
c912f676692c353a,2019-04-27,Sunrise,USA,,0
7dcf06c1967801c1,2019-04-20,Saint Petersburg,Russia,,0
b0550072e5f0afa7,2019-04-13,Atlanta,USA,,0
9649d75defe0dedb,2019-03-30,Philadelphia,USA,,0
487c170da059857d,2019-03-23,Nashville,USA,,0
80eacd4da0617c57,2019-03-16,London,United Kingdom,,0
e96d8538d3f9d0ed,2019-03-09,Wichita,USA,,0
2d5fbe2103f97053,2019-03-02,Las Vegas,USA,,0
6546af7ab545b90c,2019-02-23,Prague,Czech Republic,,0
a7a79b8efbceaaac,2019-02-17,Phoenix,USA,,0
b5882371e2a3900d,2019-02-09,Melbourne,Australia,,0
84283233ec42be5f,2019-02-02,Fortaleza,Brazil,,0
d4da8995fc91e7ef,2019-01-19,Brooklyn,USA,,0
c046100aea0dba9a,2018-12-29,Los Angeles,USA,,0
7a703c565ccaa18f,2018-12-15,Milwaukee,USA,,0
2a74bbba57058f12,2018-12-08,Toronto,Canada,,0
d1d20e651e6cbc02,2018-12-01,Adelaide,Australia,,0
c7ac79839e86ce33,2018-11-30,Las Vegas,USA,,0
de25520d54eab12d,2018-11-24,Beijing,China,,0
aa3153a9941b4d44,2018-11-17,Buenos Aires,Argentina,,0
42c96a9c4802e2e1,2018-11-10,Denver,USA,,0
20821819c401ced8,2018-11-03,New York City,USA,,0
33a331684283900f,2018-10-27,Moncton,Canada,,0
1ef0eae31904e534,2018-10-06,Las Vegas,USA,,0
852454c572675334,2018-09-22,Sao Paulo,Brazil,,0
8d49545dadf9b919,2018-09-15,Moscow,Russia,,0
d5ae8074631762fc,2018-09-08,Dallas,USA,,0
c0342805a1948cbb,2018-08-25,Lincoln,USA,,0
03b1e846b09f721d,2018-08-04,Los Angeles,USA,,0
322a56923b396b4d,2018-07-28,Calgary,Canada,,0
4f732e58ed907eff,2018-07-22,Hamburg,Germany,,0
b45d6b73f4ca4467,2018-07-14,Boise,USA,,0
35585d970300d45a,2018-07-07,Las Vegas,USA,,0
8215e4fe24e8e81b,2018-07-06,Las Vegas,USA,,0
ac5f67109accb482,2018-06-23,Kallang,Singapore,,0
2eae41f61776c60f,2018-06-09,Chicago,USA,,0
d29b5c4f22c6357d,2018-06-01,Utica,USA,,0
f5990c11974d8e9c,2018-05-27,Liverpool,United Kingdom,,0
3144121470023e9a,2018-05-19,Santiago,Chile,,0
67ec58d7cf599835,2018-05-12,Rio de Janeiro,Brazil,,0
ad99fa5325519169,2018-04-21,Atlantic City,USA,,0
620be7e0712d431b,2018-04-14,Glendale,USA,,0
49e7e05f902479ca,2018-04-07,Brooklyn,USA,,0
eed2b71d77d95416,2018-03-17,London,United Kingdom,,0
7929be8290289a47,2018-03-03,Las Vegas,USA,,0
daa89f01e1c0f42a,2018-02-24,Orlando,USA,,0
d181689653115b6a,2018-02-18,Austin,USA,,0
15515e797aedc137,2018-02-10,Perth,Australia,,0
7cf20446453f852b,2018-02-03,Belem,Brazil,,0
602bb270f2bdbf02,2018-01-27,Charlotte,USA,,0
02177caefe7c07d4,2018-01-20,Boston,USA,,0
fc1868f56d3036eb,2018-01-14,St. Louis,USA,,0
04076783ca83d6ae,2017-12-30,Las Vegas,USA,,0
eaa0a728cc91ef60,2017-12-16,Winnipeg,Canada,,0
bcd124bcd3d5be46,2017-12-09,Fresno,USA,,0
9e30f69cc0869301,2017-12-02,Detroit,USA,,0
30e8b4505f5ccf92,2017-12-01,Las Vegas,USA,,0
e7bc606d269896aa,2017-11-25,Shanghai,China,,0
caced97768818230,2017-11-18,Sydney,Australia,,0
d856a0080ac09ed7,2017-11-11,Norfolk,USA,,0
a25b71fe5e31fa97,2017-11-04,New York City,USA,,0
a7724f51e32e763e,2017-10-28,Sao Paulo,Brazil,,0
d6b68eaf4b68b160,2017-10-21,Gdansk,Poland,,0
cc5834a495d1ea08,2017-10-07,Las Vegas,USA,,0
9211aae062b799d6,2017-09-22,Saitama,Japan,,0
1979c80150f630c4,2017-09-16,Pittsburgh,USA,,0
d86e913c548c07c2,2017-09-09,Edmonton,Canada,,0
a3244e3238541482,2017-09-02,Rotterdam,Netherlands,,0
f4a031ac205ac580,2017-08-05,Mexico City,Mexico,,0
ff9578cdbfabd323,2017-07-29,Anaheim,USA,,0
9f3d6ddef3d3cccc,2017-07-22,Uniondale,USA,,0
d7907a9a968e4d29,2017-07-16,Glasgow,United Kingdom,,0
686cccbf1a4de453,2017-07-08,Las Vegas,USA,,0
23bd78c3f89bdb54,2017-07-07,Las Vegas,USA,,0
99bf06f20491cb54,2017-06-25,Oklahoma City,USA,,0
353de740bb6c7e75,2017-06-17,Kallang,Singapore,,0
90e7447d8b7f3f35,2017-06-10,Auckland,New Zealand,,0
1507214bbc7a79e2,2017-06-03,Rio de Janeiro,Brazil,,0
1c7cce2f5c17160d,2017-05-28,Stockholm,Sweden,,0
5df10509264586e5,2017-05-13,Dallas,USA,,0
bc7f7f0ba3db74d2,2017-04-22,Nashville,USA,,0
ed069a95aaaf4f56,2017-04-15,Kansas City,USA,,0
e7bfdb5e0112891e,2017-04-08,Buffalo,USA,,0
c0231720fe516994,2017-03-18,London,United Kingdom,,0
47b7e4e60813b7b2,2017-03-11,Fortaleza,Brazil,,0
20e403a1acfef130,2017-03-04,Las Vegas,USA,,0
b4ad3a06ee4d660c,2017-02-19,Halifax,Canada,,0
865aa315ea62c511,2017-02-11,Brooklyn,USA,,0
6a8a06b542e1516d,2017-02-04,Houston,USA,,0
4512e46543b960ad,2017-01-28,Denver,USA,,0
46effbd1135423c5,2017-01-15,Phoenix,USA,,0
4b2390cfaceb91d8,2016-12-30,Las Vegas,USA,,0
32541eb5d12668b4,2016-12-17,Sacramento,USA,,0
6e3282d57d2467a0,2016-12-10,Toronto,Canada,,0
7139cd2ae4bf6a29,2016-12-09,Albany,USA,,0
bd4389b71fdc0ce2,2016-12-03,Las Vegas,USA,,0
73e09f837f3b5ecc,2016-11-26,Melbourne,Australia,,0
5cde96e0a1a1fffe,2016-11-19,Sao Paulo,Brazil,,0
6810d8d2dd557cf9,2016-11-19,Belfast,United Kingdom,,0
4956f60b7fa57c1a,2016-11-12,New York City,USA,,0
6083f497c22cc075,2016-11-05,Mexico City,Mexico,,0
154a6b3ffae264cd,2016-10-08,Manchester,United Kingdom,,0
a196332ee4aa8a82,2016-10-01,Portland,USA,,0
e18012194473e8b0,2016-09-24,Brasilia,Brazil,,0
d6455cb4bee503ce,2016-09-17,Hidalgo,USA,,0
2dc7f1762dc0a7ef,2016-09-10,Cleveland,USA,,0
2b4faacc16d66898,2016-09-03,Hamburg,Germany,,0
cfbccfed4e4796fe,2016-08-27,Vancouver,Canada,,0
5da4e8dc02e50ac0,2016-08-20,Las Vegas,USA,,0
232c582f29f8f65e,2016-08-06,Salt Lake City,USA,,0
72cbe507644a587c,2016-07-30,Atlanta,USA,,0
8a028648f3f0761d,2016-07-23,Chicago,USA,,0
5e7a28f20927d64a,2016-07-13,Sioux Falls,USA,,0
aa5b4eff51bdc7d1,2016-07-09,Las Vegas,USA,,0
cd42bbe8887bba90,2016-07-08,Las Vegas,USA,,0
45a2ba3ef82b9700,2016-07-07,Las Vegas,USA,,0
563d051c9e769b24,2016-06-18,Ottawa,Canada,,0
ff4c3ab594c7fac3,2016-06-04,Los Angeles,USA,,0
990060b2a68a7b82,2016-05-29,Las Vegas,USA,,0
a4bf17bd3ba3423b,2016-05-14,Curitiba,Brazil,,0
a314687f372b2cec,2016-05-08,Rotterdam,Netherlands,,0
3d481aa374c954a1,2016-04-23,Las Vegas,USA,,0
e7e970d508529bf3,2016-04-16,Tampa,USA,,0
4887e5bc4dbb73ff,2016-04-10,Zagreb,Croatia,,0
e60201cfab7d656d,2016-03-19,Brisbane,Australia,,0
db1f2ed63b54b9a7,2016-03-05,Las Vegas,USA,,0
39c568f8c579913e,2016-02-27,London,United Kingdom,,0
d56bb6dff2ae77eb,2016-02-21,Pittsburgh,USA,,0
de99da2c0d18d34a,2016-02-06,Las Vegas,USA,,0
b3fb8d2293e17a59,2016-01-30,Newark,USA,,0
c6becb722706c7d8,2016-01-17,Boston,USA,,0
380e8b023290d091,2016-01-02,Las Vegas,USA,,0
80d918336163b80c,2015-12-19,Orlando,USA,,0
354808cf38d9d73c,2015-12-12,Las Vegas,USA,,0
20fbff570c678e1c,2015-12-11,Las Vegas,USA,,0
dd39f1ca787a3d9d,2015-12-10,Las Vegas,USA,,0
4d636c3aa1105950,2015-11-28,Seoul,South Korea,,0
243b07fc65ccbb16,2015-11-21,Monterrey,Mexico,,0
8d04923f2db59b7f,2015-11-14,Melbourne,Australia,,0
5345f86680378fc1,2015-11-07,Sao Paulo,Brazil,,0
f3155a94ca420126,2015-10-24,Dublin,Ireland,,0
119ebea97e914dcf,2015-10-03,Houston,USA,,0
a4dd5c9a75763295,2015-09-26,Saitama,Japan,,0
82f5c81f4e3c3eb5,2015-09-05,Las Vegas,USA,,0
2ce6541127b0e232,2015-08-23,Saskatoon,Canada,,0
b71667c778b6d9e5,2015-08-08,Nashville,USA,,0
a9c45a8b21eabadc,2015-08-01,Rio de Janeiro,Brazil,,0
0c3838c8f7c620c2,2015-07-25,Chicago,USA,,0
ef7fa30364cbe7f2,2015-07-18,Glasgow,United Kingdom,,0
36877f0e62b25b96,2015-07-15,San Diego,USA,,0
a890f9a791ed615d,2015-07-12,Las Vegas,USA,,0
3be081c29bf734d9,2015-07-11,Las Vegas,USA,,0
86e388ed20761ad9,2015-06-27,Hollywood,USA,,0
194fc025f9355db6,2015-06-20,Berlin,Germany,,0
a58114c6dd0add64,2015-06-13,Mexico City,Mexico,,0
06dc1a58663579d2,2015-06-06,New Orleans,USA,,0
aae0897825336b1a,2015-05-30,Goiania,Brazil,,0
4f7e290e71d60f87,2015-05-23,Las Vegas,USA,,0
b1605ea39fba6af6,2015-05-16,Manila,Philippines,,0
8a1b4330c7957961,2015-05-09,Adelaide,Australia,,0
997b4f52f76a0b53,2015-04-25,Montreal,Canada,,0
bc7cf284c1c2f16e,2015-04-18,Newark,USA,,0
5de61b03868035ff,2015-04-11,Krakow,Poland,,0
16d09e800ad7ec79,2015-04-04,Fairfax,USA,,0
fa534853eb195270,2015-03-21,Rio de Janeiro,Brazil,,0
f54200f1dfb9b5d4,2015-03-14,Dallas,USA,,0
ad4e9055bf8cd04d,2015-02-28,Los Angeles,USA,,0
0577808d22dfe79c,2015-02-22,Porto Alegre,Brazil,,0
f9c7fe2682af3802,2015-02-14,Broomfield,USA,,0
