fight_id,round,r_kd,r_sig_landed,r_sig_attempts,r_td,r_ctrl_sec,r_head_landed,r_body_landed,r_leg_landed,r_distance_landed,r_clinch_landed,r_ground_landed,b_kd,b_sig_landed,b_sig_attempts,b_td,b_ctrl_sec,b_head_landed,b_body_landed,b_leg_landed,b_distance_landed,b_clinch_landed,b_ground_landed,r_total_landed,r_total_attempts,r_td_attempts,r_sub_att,r_rev,b_total_landed,b_total_attempts,b_td_attempts,b_sub_att,b_rev,r_head_attempts,r_body_attempts,r_leg_attempts,b_head_attempts,b_body_attempts,b_leg_attempts,r_distance_attempts,r_clinch_attempts,r_ground_attempts,b_distance_attempts,b_clinch_attempts,b_ground_attempts
4bbda6c1f6cf9d4e,1,0,3,26,0,0,0,2,1,3,0,0,1,34,57,0,18,27,7,0,13,0,21,,,,,,,,,,,,,,,,,,,,,,
fd98843926965cbd,1,0,11,30,0,0,5,1,5,11,0,0,0,5,12,2,65,5,0,0,4,1,0,,,,,,,,,,,,,,,,,,,,,,
b87d6f71d901355b,1,0,13,39,0,6,10,1,2,13,0,0,1,77,110,0,16,45,25,7,72,4,1,,,,,,,,,,,,,,,,,,,,,,
0e71e69359db4d1e,1,0,3,5,0,14,1,0,2,3,0,0,0,2,3,1,264,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
86a1be10255eea4e,1,0,10,28,1,5,6,3,1,10,0,0,0,10,24,0,0,5,3,2,10,0,0,,,,,,,,,,,,,,,,,,,,,,
a160e94fdb66de17,1,0,12,14,2,283,12,0,0,0,1,11,0,1,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
fc3825dd1b67e39d,1,0,5,11,1,71,3,1,1,5,0,0,0,8,20,1,207,8,0,0,3,0,5,,,,,,,,,,,,,,,,,,,,,,
0c80eef2f4570543,1,0,13,36,0,0,10,2,1,13,0,0,0,8,24,0,26,5,0,3,8,0,0,,,,,,,,,,,,,,,,,,,,,,
de9422207df2de64,1,0,5,19,0,0,1,3,1,5,0,0,0,7,19,1,127,1,0,6,7,0,0,,,,,,,,,,,,,,,,,,,,,,
d1368ca941c1fefc,1,0,0,1,5,274,0,0,0,0,0,0,0,6,9,0,0,6,0,0,0,4,2,,,,,,,,,,,,,,,,,,,,,,
76641669c1607b7a,1,0,20,69,0,0,6,6,8,20,0,0,0,27,50,1,58,23,2,2,25,2,0,,,,,,,,,,,,,,,,,,,,,,
58811a4e36c53b89,1,3,43,111,0,70,33,6,4,38,3,2,0,43,117,0,0,31,3,9,37,6,0,,,,,,,,,,,,,,,,,,,,,,
fd088ce1481315a5,1,0,15,47,0,0,3,6,6,15,0,0,0,22,37,0,69,2,5,15,21,1,0,,,,,,,,,,,,,,,,,,,,,,
4b1aec2395ebca14,1,1,22,53,1,98,13,6,3,15,2,5,0,20,43,0,36,12,3,5,20,0,0,,,,,,,,,,,,,,,,,,,,,,
96cc199d78732d11,1,0,17,39,0,70,7,0,10,17,0,0,0,14,51,0,0,6,2,6,13,1,0,,,,,,,,,,,,,,,,,,,,,,
