fight_id,event_id,r_fighter_id,b_fighter_id,r_fighter_name,b_fighter_name,weight_class,winner_corner,fight_url
4664432c0d592411,0313bf497de9c470,ff6a1f63c254127e,8f0d576beba1cfcd,Albert Tumenov,Matt Dwyer,Welterweight,R,https://www.ufcstats.com/fight-details/4664432c0d592411
4e981b587c1012dd,0313bf497de9c470,e5010b1b94ca5755,4ac1ecf8ce59ef23,Paul Felder,Jason Saggo,Lightweight,R,https://www.ufcstats.com/fight-details/4e981b587c1012dd
5e07077e84fc45cd,0313bf497de9c470,49858bf46dabf6fb,e64b96c07d7ce999,Nordine Taleb,Li Jingliang,Welterweight,R,https://www.ufcstats.com/fight-details/5e07077e84fc45cd
64542fe846b9aea9,0313bf497de9c470,cbd5d3cdd862e90e,0749d968e932df53,Rory MacDonald,Tarec Saffiedine,Welterweight,R,https://www.ufcstats.com/fight-details/64542fe846b9aea9
7e25199be406dd7b,0313bf497de9c470,34f88592c0ab7a54,da1d8d76404bb6b5,Elias Theodorou,Bruno Santos,Middleweight,R,https://www.ufcstats.com/fight-details/7e25199be406dd7b
88933cf1edd83034,0313bf497de9c470,5f99b2bafb10305f,6bf5a7d3e081ade2,Daron Cruickshank,Anthony Njokuani,Lightweight,R,https://www.ufcstats.com/fight-details/88933cf1edd83034
0a083ab881ef3a5f,03688dc3c3af3ac1,349aaa3da11eb587,7d3caf0f96f1b33d,Karo Parisyan,Nick Thompson,Welterweight,R,https://www.ufcstats.com/fight-details/0a083ab881ef3a5f
12231c1ca2e09011,03688dc3c3af3ac1,31ee470ef5dc8d7f,21321cdfba797c52,Thiago Alves,Derrick Noble,Welterweight,R,https://www.ufcstats.com/fight-details/12231c1ca2e09011
3fe41b95899316d5,03688dc3c3af3ac1,5be86bb2f78fef2f,6a92caba39b64752,Jason Lambert,Terry Martin,Light Heavyweight,R,https://www.ufcstats.com/fight-details/3fe41b95899316d5
57a7767c4255e034,03688dc3c3af3ac1,2a542ee8a8b83559,3738e68d2261e60f,Tim Sylvia,Andrei Arlovski,Heavyweight,R,https://www.ufcstats.com/fight-details/57a7767c4255e034
5f9b063630e52778,03688dc3c3af3ac1,2f732dd9210d301f,fcffee71cff5530e,Tito Ortiz,Forrest Griffin,Light Heavyweight,R,https://www.ufcstats.com/fight-details/5f9b063630e52778
f747fbe721cdb042,03688dc3c3af3ac1,8f2d9ee27f206f1f,8c3f3c43c8ceb778,Evan Tanner,Justin Levens,Middleweight,R,https://www.ufcstats.com/fight-details/f747fbe721cdb042
fb972da69450127f,03688dc3c3af3ac1,cbfd1d34356a004c,6aa1cbc1466e9a0b,Jeff Monson,Marcio Cruz,Heavyweight,R,https://www.ufcstats.com/fight-details/fb972da69450127f
fdafa20b7ec8cb44,03688dc3c3af3ac1,4123fd4dcc1fe937,3410cf010558dc8b,David Terrell,Scott Smith,Middleweight,R,https://www.ufcstats.com/fight-details/fdafa20b7ec8cb44
fef433a7cb7a2029,03688dc3c3af3ac1,029880cdbf5ca089,f57a8a52ca401ed9,Sean Sherk,Nick Diaz,Welterweight,R,https://www.ufcstats.com/fight-details/fef433a7cb7a2029
3b03f8d3a55f3cb2,03b1e846b09f721d,dea070ed4a2a8281,3a46b268013afede,Thiago Santos,Kevin Holland,Middleweight,R,https://www.ufcstats.com/fight-details/3b03f8d3a55f3cb2
520f6379fefd8fda,03b1e846b09f721d,b6452706b373eea1,d247691a6c0e9034,Renato Moicano,Cub Swanson,Featherweight,R,https://www.ufcstats.com/fight-details/520f6379fefd8fda
