fighter_name,url,http_ok,http_error,html_bytes,anti_bot_hit,table_found,event_headers,headers_skipped_unconfirmed,headers_skipped_future,headers_with_dates,main_rows_total,matched_rows,fights_yielded,name_match_example,last_header_date_example,missing_closing_both,missing_closing_one_side,open_missing_count,reason_if_empty
Aljamain Sterling,https://www.bestfightodds.com/fighters/Aljamain-Sterling-4688,yes,,45327,maybe,yes,22,0,0,22,22,0,0,aljamain sterling +180 +175 ... +200 +4.1% ▲ ufc,Jun 6th 2020,0,0,0,NAME_NEVER_FOUND
Rick Story,https://www.bestfightodds.com/fighters/Rick-Story-1194,yes,,44514,maybe,yes,22,0,0,22,22,0,0,rick story -225 -195 ... -180 +5.7% ▲ pfl 10: playoffs,Jun 13th 2009,0,0,0,NAME_NEVER_FOUND
Tim Sylvia,https://www.bestfightodds.com/fighters/Tim-Sylvia-174,yes,,25379,maybe,yes,11,0,0,11,11,0,0,tim sylvia -165 -125 ... -125 +10.8% ▲ one fc 5: pride of a nation,Jun 13th 2009,0,0,0,NAME_NEVER_FOUND
Joe Stevenson,https://www.bestfightodds.com/fighters/Joe-Stevenson-82,yes,,27516,maybe,yes,11,0,0,11,11,0,0,joe stevenson -185 -170 ... -170 +3% ▲ ufc on versus 4,Aug 25th 2007,0,0,0,NAME_NEVER_FOUND
Sam Stout,https://www.bestfightodds.com/fighters/Sam-Stout-1,yes,,36803,maybe,yes,17,0,0,17,17,0,0,sam stout -130 +130 ... +135 +24.1% ▲ ufc fight night 74: holloway vs. oliveira,Jan 19th 2008,0,0,0,NAME_NEVER_FOUND
Sean Strickland,https://www.bestfightodds.com/fighters/Sean-Strickland-4733,yes,,50440,maybe,yes,26,2,0,26,24,0,0,sean strickland +110 +170 ... +185 +24.7% ▲ ufc,May 20th 2023,0,0,0,NAME_NEVER_FOUND
Stefan Struve,https://www.bestfightodds.com/fighters/Stefan-Struve-1021,yes,,48264,maybe,yes,24,0,0,24,24,0,0,stefan struve -115 +125 ... +140 +19.8% ▲ ufc 254: khabib vs. gaethje,Feb 21st 2009,0,0,0,NAME_NEVER_FOUND
Mike Swick,https://www.bestfightodds.com/fighters/Mike-Swick-113,yes,,24546,maybe,yes,9,0,0,9,9,0,0,mike swick +180 +375 ... +385 +41.7% ▲ ufc 189: mendes vs. mcgregor,Jan 23rd 2008,0,0,0,NAME_NEVER_FOUND
Jeremy Stephens,https://www.bestfightodds.com/fighters/Jeremy-Stephens-210,yes,,71607,maybe,yes,39,0,0,39,39,0,0,jeremy stephens +340 +400 ... +490 +21% ▲ ufc,Sep 22nd 2007,0,0,0,NAME_NEVER_FOUND
Cub Swanson,https://www.bestfightodds.com/fighters/Cub-Swanson-387,yes,,58888,maybe,yes,31,0,0,31,31,0,0,cub swanson +110 +130 ... +175 +18% ▲ ufc fight night,Dec 12th 2007,0,0,0,NAME_NEVER_FOUND
Taiyilake Nueraji,https://www.bestfightodds.com/fighters/Taiyilake-Nueraji-15867,yes,,13714,maybe,yes,2,0,0,2,2,0,0,taiyilake nueraji -330 -560 ... -500 -9.9% ▼ ufc,May 27th 2023,0,0,0,NAME_NEVER_FOUND
